|h2e2
c3c4|b7c7
c3c4,c9e7|b0c2
c3c4,c9e7,b2d2|g6g5
c3c4,c9e7,b2d2,g6g5|b0c2
c3c4,c9e7,b2d2,g6g5,b0c2|b9c7
c3c4,c9e7,b2d2,g6g5,b0c2,b9c7|a0b0
c3c4,c9e7,b2d2,g6g5,b0c2,b9c7,a0b0|a9b9
c3c4,c9e7,b2d2,g6g5,b0c2,b9c7,a0b0,a9b9|h2e2
c3c4,c9e7,b2d2,g6g5,b0c2,b9c7,a0b0,a9b9,h2h6|h9g7
c3c4,c9e7,b2d2,g6g5,b0c2,b9c7,a0b0,a9b9,h2h6,h9g7|h6g6
h2e2|h9g7
h2e2,h9g7|h0g2
h2e2,h9g7,h0g2|i9h9
h2e2,h9g7,h0g2,i9h9|i0h0
h2e2,h9g7,h0g2,i9h9,i0h0|b9c7
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7|c3c4
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4|g6g5
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5|h0h6
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5,h0h6|h7i7
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5,h0h6,h7i7|h6g6
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5,h0h6,h7i7,h6g6|i7i8
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3|g3g4
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,g3g4|b7e7
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,g3g4,b7e7|c3c4
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,g3g4,b7e7,c3c4|b9c7
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,g3g4,b7e7,c3c4,b9c7|b0c2
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,g3g4,b7e7,c3c4,b9c7,b0c2|a9b9
h2e2,h9g7,h0g2,i9h9,g3g4|c6c5
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7|b0c2
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2|c6c5
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,c6c5|b2b6
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,c6c5,b2a2|b9c7
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,c6c5,b2a2,b9c7|a0b0
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,c6c5,b2a2,b9c7,a0b0|a9b9
c3c4,g6g5|b0c2
c3c4,g6g5,b0c2|h9g7
c3c4,g6g5,b0c2,h9g7|a0a1
c3c4,g6g5,b0c2,h9g7,a0a1|c9e7
c3c4,g6g5,b0c2,h9g7,a0a1,g9e7|g0e2
c3c4,g6g5,b0c2,h9g7,a0a1,g9e7,g0e2|b9a7
c3c4,g6g5,b0c2,h9g7,a0a1,g9e7,g0e2,b9a7|a1g1
c3c4,g6g5,b0c2,h9g7,a0a1,g9e7,g0e2,b9a7,h0f1|a9a8
c3c4,g6g5,b0c2,h9g7,a0a1,g9e7,g0e2,b9a7,h0f1,a9a8|i0g0
